street_number,route,locality-political,postal_code,latitude_longitude
3130,Grizzly Peak Boulevard,Berkeley,94705.0,"37.88,-122.23"
2005,Tunnel Road,Oakland,94611.0,"37.86,-122.22"
6886,Chabot Road,Oakland,94618.0,"37.85,-122.24"
6365,Florio Street,Oakland,94618.0,"37.85,-122.25"
5407,Bryant Avenue,Oakland,94618.0,"37.84,-122.25"
5321,Claremont Avenue,Oakland,94618.0,"37.84,-122.26"
6398,Telegraph Avenue,Oakland,94609.0,"37.85,-122.26"
1889,Harmon Street,Berkeley,94703.0,"37.85,-122.27"
812,55th Street,Oakland,94608.0,"37.84,-122.27"
1408,66th Street,Berkeley,94702.0,"37.85,-122.28"
5630,Gaskill Street,Oakland,94608.0,"37.84,-122.28"
736,40th Street,Oakland,94609.0,"37.83,-122.27"
3889,California 123,Emeryville,94608.0,"37.83,-122.28"
4130,Webster Street,Oakland,94609.0,"37.83,-122.26"
3026,Martin Luther King Junior Way,Oakland,94609.0,"37.82,-122.27"
45,Randwick Avenue,Oakland,94611.0,"37.82,-122.26"
2802,Linden Street,Oakland,94608.0,"37.82,-122.28"
2430,Willow Street,Oakland,94607.0,"37.82,-122.29"
4080,Halleck Street,Oakland,94608.0,"37.83,-122.29"
1312,Kirkham Court,Oakland,94607.0,"37.81,-122.29"
1737,10th Street,Oakland,94607.0,"37.81,-122.3"
163,Adeline Street,Oakland,94607.0,"37.8,-122.29"
,,Oakland,94607.0,"37.81,-122.28"
431,Martin Luther King Junior Way,Oakland,94607.0,"37.8,-122.28"
520,20th Street,Oakland,94612.0,"37.81,-122.27"
321,10th Street,Oakland,94607.0,"37.8,-122.27"
15,Embarcadero West,Oakland,94607.0,"37.79,-122.27"
,Lake Merritt Boulevard,Oakland,94612.0,"37.8,-122.26"
,,Oakland,94610.0,"37.81,-122.26"
431,Lagunitas Avenue,Oakland,94610.0,"37.81,-122.25"
114,Magnolia Avenue,Piedmont,94610.0,"37.82,-122.24"
690,Longridge Road,Oakland,94610.0,"37.81,-122.24"
615,Mariposa Avenue,Oakland,94610.0,"37.82,-122.25"
190,John Street,Oakland,94611.0,"37.83,-122.25"
241,Florence Avenue,Oakland,94618.0,"37.84,-122.23"
161,Ronada Avenue,Piedmont,94611.0,"37.83,-122.24"
,California 13,Oakland,94618.0,"37.85,-122.23"
5672,Broadway Terrace,Oakland,94618.0,"37.84,-122.24"
6900,Broadway,Oakland,94611.0,"37.85,-122.22"
6925,Broadway Terrace,Oakland,94611.0,"37.84,-122.22"
6131,Thornhill Drive,Oakland,94611.0,"37.84,-122.21"
5628,Colton Boulevard,Oakland,94611.0,"37.83,-122.21"
6519,Oakwood Drive,Oakland,94611.0,"37.84,-122.2"
2112,Manzanita Drive,Oakland,94611.0,"37.84,-122.19"
6228,Elderberry Drive,Oakland,94611.0,"37.83,-122.19"
5912,Balboa Drive,Oakland,94611.0,"37.83,-122.2"
3082,Holyrood Drive,Oakland,94611.0,"37.82,-122.19"
2588,Scout Road,Oakland,94611.0,"37.82,-122.2"
,,Oakland,94611.0,"37.81,-122.18"
282,Somerset Drive,Oakland,94611.0,"37.82,-122.21"
4700,Lincoln Avenue,Oakland,94602.0,"37.81,-122.2"
3563,Laguna Avenue,Oakland,94602.0,"37.8,-122.21"
4162,Lyman Road,Oakland,94602.0,"37.81,-122.21"
1135,Glendora Avenue,Oakland,94602.0,"37.81,-122.22"
3459,Morrison Avenue,Oakland,94602.0,"37.8,-122.22"
